,lat,lon,h,corr_h
0,-64.68080554357522,-57.10220628205598,18.640431196666665,3.2849335980185934
1,-64.7293038056587,-57.11460686863365,18.597104126333335,3.2416065276852635
2,-64.78694494000541,-57.12924644974531,53.839881213333335,38.484383614685264
3,-64.83613577970073,-57.14190159089045,53.81796693333333,38.46246933468526
4,-64.87900193866034,-57.153098789899644,51.99956456666667,36.6440669680186
5,-64.90852623095128,-57.16090467131196,52.16701358,36.81151598135193
6,-64.94637520700743,-57.17090407969199,52.99973210666666,37.64423450801859
7,-64.98879170851531,-57.181933449421216,50.914334153333336,35.558836554685264
8,-65.03526842547328,-57.19396152760211,50.24269261333333,34.88719501468526
9,-65.08187856602561,-57.20602054996759,50.05775917333333,34.70226157468526
10,-65.12847054042534,-57.218236024561456,39.94808523133334,24.592587632685266
11,-65.18104090917508,-57.2322990780059,16.018379762333335,0.6628821636852642
12,-65.22968069519987,-57.245310092745655,15.649075287906665,0.2935776892585942
13,-65.27811105303394,-57.2581611986303,14.251085566266665,-1.104412032381406
14,-65.32256085848508,-57.2698430964503,19.3824311616,4.026933562951928
15,-64.93556483472025,-57.16879304113315,15.913580635466666,0.5580830368185943
16,-64.6958620360047,-57.10608273294158,17.018598834000002,1.663101235351931
17,-64.74799739345079,-57.11934426328662,28.96381752933333,13.608319930685258
18,-64.81879700056852,-57.1374384314965,53.254135999999995,37.898638401351924
19,-64.91122088768171,-57.16162640231519,51.6012645,36.24576690135193
20,-64.97214442655557,-57.17761295914709,50.29871357333334,34.943215974685266
21,-65.01220757596388,-57.18799914121893,50.55643124,35.20093364135193
22,-65.04359031286023,-57.196114516074935,49.27230889333333,33.91681129468526
23,-65.07339497770982,-57.2038194257662,47.780449000000004,32.42495140135193
24,-65.10196965251502,-57.211240159342715,48.14947542,32.79397782135193
25,-65.13263627089434,-57.21933086484682,38.21565138,22.860153781351926
26,-65.15920077258814,-57.2264308519729,25.568915286666666,10.213417688018595
27,-65.21433461433168,-57.241187907697494,15.474996696666667,0.11949909801859526
28,-65.30495785483275,-57.26522719369667,19.995030933333336,4.6395333346852645
29,-65.3441302808789,-57.27549492788529,15.507214616666667,0.15171701801859605
30,-64.69569134871756,-57.106118458933246,17.376300686666667,2.020803088018596
31,-64.70523874466157,-57.10849262730815,17.29731132,1.9418137213519273
32,-64.73600109544782,-57.11630633747722,17.405316646666666,2.0498190480185947
33,-64.75821867190928,-57.12193179280233,38.749082273333336,23.393584674685265
34,-64.7781747902654,-57.12699823837508,55.07882991333333,39.72333231468526
35,-64.80175299511933,-57.13303675172701,53.97106468,38.61556708135193
36,-64.82239064485127,-57.13834591064163,53.93208549333333,38.57658789468526
37,-64.84420549340027,-57.14398743850249,53.59685590666667,38.2413583080186
38,-64.86650766139564,-57.1498081988915,53.46664354,38.11114594135193
39,-64.88788904733869,-57.15544084790656,53.29304903333334,37.93755143468527
40,-64.91156684420196,-57.16171046462371,53.70543996,38.34994236135193
41,-64.941466122045,-57.169615782803135,53.38210321333333,38.02660561468526
42,-64.97052080257296,-57.17719862506031,52.66102328,37.30552568135193
43,-65.00847341758801,-57.187031378241436,52.520327300000005,37.164829701351934
44,-65.0592013985174,-57.20015144130897,51.18541262666667,35.8299150280186
45,-65.13326607292224,-57.21954161028579,37.79452822666667,22.4390306280186
46,-65.2575635411672,-57.252703180325895,15.18484119,-0.17065640864807108
47,-65.32163524642839,-57.2696015550912,21.198945073333334,5.843447474685263
48,-65.01418353560908,-57.189079671310864,15.908453376666666,0.5529557780185943
49,-65.204303649613,-57.23853934528751,14.858924193333332,-0.4965734053147397
50,-65.2205789578463,-57.24288377061803,14.821559440000001,-0.5339381586480698
51,-65.24774575839416,-57.250123909090505,14.741431673333333,-0.6140659253147387
52,-65.25709315501908,-57.25261140806284,14.706019923333333,-0.6494776753147384
53,-65.26865483999458,-57.25567548485951,14.70717985,-0.648317748648072
54,-65.33184016444449,-57.272273896548114,14.482539361904763,-0.8729582367433082
